DTM	RACMO_EH5_PET
1961-01-15	4.37832421705495
1961-02-15	13.0255987462821
1961-03-15	29.8045876398173
1961-04-15	48.3502737607749
1961-05-15	87.9101382834606
1961-06-15	106.13676496038
1961-07-15	119.661453928066
1961-08-15	94.3200684044644
1961-09-15	58.7591992533519
1961-10-15	20.6900751976589
1961-11-15	9.12898339243076
1961-12-15	4.21826277217266
1962-01-15	0
1962-02-15	8.27404614496532
1962-03-15	19.3833685734491
1962-04-15	57.408974459255
1962-05-15	90.4752918799015
1962-06-15	107.519682343125
1962-07-15	105.646677315086
1962-08-15	87.8239793920521
1962-09-15	53.0135150898004
1962-10-15	26.7566646940268
1962-11-15	10.3298384900045
1962-12-15	2.25673509249017
1963-01-15	3.69086699144715
1963-02-15	10.1458912650323
1963-03-15	22.0088736313572
1963-04-15	44.5136543102736
1963-05-15	85.8308876241853
1963-06-15	103.545496796929
1963-07-15	120.852993133784
1963-08-15	91.0037329803134
1963-09-15	56.8622937161105
1963-10-15	31.6081075321483
1963-11-15	9.98926551820849
1963-12-15	6.14130330035249
1964-01-15	8.56976090093653
1964-02-15	3.05326670481995
1964-03-15	29.3763063356222
1964-04-15	69.3854632599708
1964-05-15	87.3968262070247
1964-06-15	110.441460285259
1964-07-15	128.782866064193
1964-08-15	97.8106554651411
1964-09-15	58.0342479154529
1964-10-15	27.5693171124942
1964-11-15	11.7921640550316
1964-12-15	5.22454960529353
1965-01-15	1.93467387732594
1965-02-15	10.1387176514809
1965-03-15	25.3571458416149
1965-04-15	54.7592067494778
1965-05-15	91.2929130553406
1965-06-15	105.100235637808
1965-07-15	118.975382536446
1965-08-15	101.910362749266
1965-09-15	55.2467984724642
1965-10-15	23.6531270217822
1965-11-15	11.3805082309982
1965-12-15	8.97478466952418
1966-01-15	6.50394263982037
1966-02-15	1.98185669604651
1966-03-15	25.9979757862734
1966-04-15	53.1978475408906
1966-05-15	84.9816086280121
1966-06-15	121.047927494513
1966-07-15	117.959012521751
1966-08-15	94.3555105461191
1966-09-15	48.9995931766035
1966-10-15	25.9384702411068
1966-11-15	11.9524598540284
