DTM	RACMO_EH5_RM
1961-01-15	32.0289310453793
1961-02-15	14.0460819875027
1961-03-15	10.8588163855427
1961-04-15	9.68630005477612
1961-05-15	9.27345677698148
1961-06-15	9.47873603531906
1961-07-15	4.93023408497447
1961-08-15	3.25014257925525
1961-09-15	2.54211520413855
1961-10-15	1.89866296869445
1961-11-15	1.50124055323154
1961-12-15	13.6173253256874
1962-01-15	11.8798956710199
1962-02-15	4.95672312497584
1962-03-15	35.6177205027829
1962-04-15	6.38940908550424
1962-05-15	5.57452228018284
1962-06-15	5.96473066353271
1962-07-15	3.89751805639268
1962-08-15	3.34239948386437
1962-09-15	1.86438257540018
1962-10-15	1.721268814272
1962-11-15	2.13331365760598
1962-12-15	18.6193600253647
1963-01-15	8.10439457596559
1963-02-15	8.12344653039098
1963-03-15	5.47962275803312
1963-04-15	17.4988447317472
1963-05-15	49.9381245854252
1963-06-15	15.2588694710332
1963-07-15	7.49829332600963
1963-08-15	7.80473355690812
1963-09-15	4.06889964918375
1963-10-15	7.79005187494704
1963-11-15	20.5788017616276
1963-12-15	14.9503234408363
1964-01-15	16.2107113081092
1964-02-15	7.79107188650438
1964-03-15	4.82977165127653
1964-04-15	4.75613226692358
1964-05-15	5.97841596537235
1964-06-15	2.57157314920426
1964-07-15	1.84573163686497
1964-08-15	1.58919828779409
1964-09-15	2.13103920203306
1964-10-15	17.1700944916882
1964-11-15	14.1354448048498
1964-12-15	13.8388515580835
1965-01-15	16.344783944698
1965-02-15	5.83104186577408
1965-03-15	13.4828306245061
1965-04-15	4.47219857397218
1965-05-15	3.46686727673285
1965-06-15	3.2168219024236
1965-07-15	2.09067335688589
1965-08-15	1.59404172432193
1965-09-15	1.25348209593938
1965-10-15	1.24103562509929
1965-11-15	24.841525192101
1965-12-15	12.3163627171487
1966-01-15	8.900143283619
1966-02-15	5.42618290065736
1966-03-15	3.03465830478495
1966-04-15	2.85817437493945
1966-05-15	3.42976165411599
1966-06-15	1.98627992643993
1966-07-15	1.33326416247541
1966-08-15	1.05583723714647
1966-09-15	0.789427449701729
1966-10-15	0.511541750988238
1966-11-15	0.408786231213808
1966-12-15	0.361951329884484
1967-01-15	1.41133609240864
1967-02-15	15.3871547902343
1967-03-15	18.0990591257981
1967-04-15	6.99428095241377
1967-05-15	5.65836604584607
1967-06-15	3.9059133800388
1967-07-15	3.19673346545018
1967-08-15	2.36221617188748
1967-09-15	1.82395838721547
1967-10-15	1.41248195713195
1967-11-15	1.21523279938145
1967-12-15	1.09198226283063
1968-01-15	0.706278639615763
1968-02-15	20.8536173606681
1968-03-15	14.7556153579963
1968-04-15	3.82797335041105
1968-05-15	4.05170253806931
1968-06-15	2.16507780442531
1968-07-15	1.516059221907
1968-08-15	1.26699646233807
1968-09-15	1.05733281576739
1968-10-15	0.680718260539405
1968-11-15	0.540450500493825
1968-12-15	0.40812663239425
1969-01-15	0.31645771761881
1969-02-15	18.6371105720537
1969-03-15	33.9880148359428
1969-04-15	26.9913296734072
1969-05-15	8.70275727274556
1969-06-15	7.09198161829165
1969-07-15	5.40157462261826
1969-08-15	4.17827300831134
1969-09-15	3.13199836071586
1969-10-15	2.45510477914139
1969-11-15	10.8156075990562
1969-12-15	9.54141556988072
1970-01-15	13.6714568576799
1970-02-15	10.5414361879354
1970-03-15	14.4876281053511
1970-04-15	9.1351776681943
1970-05-15	6.85866071435198
1970-06-15	5.16580603310889
1970-07-15	4.29142425758112
1970-08-15	3.03212362294365
1970-09-15	2.27816637810567
1970-10-15	1.77412248226895
1970-11-15	1.77961638940719
1970-12-15	21.2466126905472
1971-01-15	13.2144962817275
1971-02-15	20.1015350826302
1971-03-15	8.75739511789396
1971-04-15	7.07930733537876
1971-05-15	21.4177907201338
1971-06-15	5.94814196534236
1971-07-15	4.05783468707557
1971-08-15	3.53864422842434
1971-09-15	9.41394466493845
1971-10-15	2.91297208294353
1971-11-15	16.4175073836237
1971-12-15	21.452514204577
1972-01-15	12.8274006989162
1972-02-15	5.40028640950015
1972-03-15	4.18733347934873
1972-04-15	3.73666698609365
1972-05-15	4.47345844996792
