DTM	RACMO_EH5_P
1961-01-15	47.6670080728999
1961-02-15	13.8727617716292
1961-03-15	9.43059723668288
1961-04-15	51.7794993361989
1961-05-15	73.2168035641341
1961-06-15	108.928487761144
1961-07-15	53.1944100789256
1961-08-15	46.6534745251324
1961-09-15	68.1562822653868
1961-10-15	21.9159615554849
1961-11-15	22.3883111409257
1961-12-15	57.217245482214
1962-01-15	16.6301521560282
1962-02-15	7.98134972324773
1962-03-15	65.5266245560291
1962-04-15	15.9078724134726
1962-05-15	48.0138185839463
1962-06-15	123.061228279577
1962-07-15	55.4943337852962
1962-08-15	93.5671601440179
1962-09-15	25.7492960235927
1962-10-15	57.4826641203901
1962-11-15	26.6202049483003
1962-12-15	39.1533701591872
1963-01-15	10.1579014271703
1963-02-15	20.4740943757959
1963-03-15	22.2225906200293
1963-04-15	63.5061825772149
1963-05-15	146.622381113112
1963-06-15	109.028672462823
1963-07-15	58.0987340427228
1963-08-15	133.415437973737
1963-09-15	35.7465409804721
1963-10-15	56.926820409776
1963-11-15	36.9000332760145
1963-12-15	22.7733987467593
1964-01-15	26.4612271758154
1964-02-15	9.90413908366763
1964-03-15	30.9768288962605
1964-04-15	40.7438550673055
1964-05-15	88.3554050823776
1964-06-15	32.9733383041028
1964-07-15	44.7275905321028
1964-08-15	125.34576431428
1964-09-15	54.276830159159
1964-10-15	78.5252650061391
1964-11-15	29.392344355624
1964-12-15	21.3583712579802
1965-01-15	28.678976232561
1965-02-15	2.93028901115753
1965-03-15	38.2796324822552
1965-04-15	10.3316999969571
1965-05-15	13.6827289747699
1965-06-15	88.3510024273716
1965-07-15	27.9364779429856
1965-08-15	23.0460021068345
1965-09-15	98.0652159001909
1965-10-15	22.2706472643052
1965-11-15	58.5431012930847
1965-12-15	22.6668848154587
1966-01-15	14.7120301387584
1966-02-15	6.56559911150965
1966-03-15	19.1840682660271
1966-04-15	26.5105960227076
1966-05-15	60.905831629298
1966-06-15	46.1813897973265
1966-07-15	60.021961480518
1966-08-15	96.255141638949
1966-09-15	53.8015614702307
1966-10-15	1.17472491637133
1966-11-15	13.450939164402
1966-12-15	24.9292928510505
1967-01-15	40.8259776647997
1967-02-15	44.9700511019027
1967-03-15	43.3384371018346
1967-04-15	27.0047435537346
1967-05-15	41.1883479332034
1967-06-15	10.689982190811
1967-07-15	96.3773603375123
1967-08-15	41.7281168034515
1967-09-15	46.1539942664713
1967-10-15	42.4374494450898
1967-11-15	27.2396497109979
1967-12-15	24.9047746316871
1968-01-15	8.96702296182039
1968-02-15	46.0612070489974
1968-03-15	50.8306113389939
1968-04-15	31.3097203417762
1968-05-15	54.6075859349795
1968-06-15	30.3016092965636
1968-07-15	30.2865012208722
1968-08-15	115.361038949455
1968-09-15	30.119208848771
1968-10-15	3.95697934068376
1968-11-15	12.9818423714549
1968-12-15	2.92489242666471
1969-01-15	52.1482786642932
1969-02-15	56.907470673299
1969-03-15	61.4673871607578
1969-04-15	72.8281011204604
1969-05-15	13.3840817732288
1969-06-15	52.9904226908554
1969-07-15	60.487225599673
1969-08-15	88.3840426733182
1969-09-15	39.7857376549187
1969-10-15	59.7807841265446
1969-11-15	42.1851664386521
1969-12-15	16.1929885235684
1970-01-15	27.103374549483
1970-02-15	20.3045264777758
1970-03-15	42.1983404147813
1970-04-15	38.5137875810113
1970-05-15	32.4738916554533
1970-06-15	38.5741941803212
1970-07-15	90.0471150205399
1970-08-15	45.7925507983864
1970-09-15	25.2523058199119
1970-10-15	38.4510877856036
1970-11-15	43.4447890317277
1970-12-15	37.7104392453211
1971-01-15	48.0650861417526
1971-02-15	6.58229503431628
1971-03-15	20.6823541888742
1971-04-15	31.9345118700698
1971-05-15	114.596332537029
1971-06-15	39.566707169472
1971-07-15	37.9606600892482
1971-08-15	105.39877542936
1971-09-15	102.9042197392
1971-10-15	28.0971992539887
1971-11-15	31.9959938703969
1971-12-15	32.7747382582546
1972-01-15	18.8658039312504
1972-02-15	2.59711787632312
1972-03-15	3.01682658696503
1972-04-15	26.1065112652636
1972-05-15	69.0517823385258
1972-06-15	41.0889408104003
1972-07-15	177.026170651618
1972-08-15	72.3872311598323
1972-09-15	27.2424120016263
1972-10-15	37.1388972248099
1972-11-15	34.754386715783
1972-12-15	29.3548943411239
1973-01-15	8.34276829199058
1973-02-15	14.4585477898935
1973-03-15	16.3264126504203
1973-04-15	21.2324469741929
1973-05-15	46.8768254221147
1973-06-15	74.92314792169
1973-07-15	91.7854058846407
1973-08-15	35.799935677472
1973-09-15	53.5775941153762
1973-10-15	13.0784834669019
1973-11-15	20.2753017878268
1973-12-15	5.86169073846871
1974-01-15	8.17979165283839
1974-02-15	20.0752896267112
1974-03-15	44.5493185882048
1974-04-15	53.4033057322223
1974-05-15	70.6733575019139
1974-06-15	51.1659977123275
1974-07-15	7.16054907061949
1974-08-15	59.6516458485383
1974-09-15	34.1619654527461
1974-10-15	45.2766635252372
1974-11-15	54.3474944983963
1974-12-15	37.3495742087736
1975-01-15	15.3791700473273
1975-02-15	34.9886341154188
1975-03-15	38.2524512176276
1975-04-15	60.4957089970444
1975-05-15	19.1016040724
1975-06-15	64.694711940932
1975-07-15	54.6489862879118
1975-08-15	92.8520933879276
1975-09-15	60.3297955846535
1975-10-15	31.7916253886013
1975-11-15	45.2501983956002
1975-12-15	39.2316458876027
1976-01-15	31.0143713811312
1976-02-15	17.0195638893418
1976-03-15	30.4563937125608
1976-04-15	23.7460315769811
1976-05-15	18.7072267617626
1976-06-15	35.3465811804693
1976-07-15	56.557512415451
1976-08-15	70.5316568143746
1976-09-15	31.4529289944036
1976-10-15	17.7846648669873
1976-11-15	38.7459362415627
1976-12-15	43.289691464965
1977-01-15	46.6909494927074
1977-02-15	53.4812324014411
1977-03-15	16.1339364929572
1977-04-15	30.5740522640915
1977-05-15	98.9561774968138
1977-06-15	73.1906079499352
1977-07-15	50.4670232318831
1977-08-15	75.119001309506
1977-09-15	48.4755686426245
1977-10-15	71.2749767825714
1977-11-15	82.0743215699988
1977-12-15	35.9308920213905
1978-01-15	33.3354712729689
1978-02-15	8.6195174658036
1978-03-15	36.3203553419884
1978-04-15	63.7035999211326
1978-05-15	93.5477361747891
1978-06-15	43.1077191347831
1978-07-15	92.5732953605393
1978-08-15	104.250981278241
1978-09-15	36.7045752692696
1978-10-15	36.1948088149219
1978-11-15	50.4861049795443
1978-12-15	36.8835177636423
1979-01-15	31.8094350232959
1979-02-15	45.4817626988498
1979-03-15	31.4922541553345
1979-04-15	34.7216462309177
1979-05-15	68.8445120614541
1979-06-15	175.673526376991
1979-07-15	61.0315295918899
1979-08-15	72.4893489372617
1979-09-15	15.0482055865424
1979-10-15	21.4183245560869
1979-11-15	32.8378505977863
1979-12-15	57.1915453331454
1980-01-15	24.676346259834
1980-02-15	26.3552302544397
1980-03-15	14.9164603373792
1980-04-15	39.6038532860118
1980-05-15	100.185015839521
1980-06-15	53.735837026501
1980-07-15	40.7768008615193
1980-08-15	65.7559703170098
1980-09-15	46.6466482319117
1980-10-15	58.2918349864046
1980-11-15	10.7819582193977
1980-12-15	47.1621035668528
1981-01-15	23.5953838899183
1981-02-15	50.8687033449029
1981-03-15	20.7709789730395
1981-04-15	49.8553326247863
1981-05-15	68.8416023796921
1981-06-15	77.8868240442243
1981-07-15	102.049851023338
1981-08-15	73.064590687447
1981-09-15	35.2230672274505
1981-10-15	19.7310842856273
1981-11-15	38.2552067227282
1981-12-15	35.1170327983191
1982-01-15	20.3100976496746
1982-02-15	42.8945947578473
1982-03-15	57.1327823591322
1982-04-15	22.1400852148683
1982-05-15	26.9086614623633
1982-06-15	82.9561672229805
1982-07-15	113.223854782795
1982-08-15	29.6292114817635
1982-09-15	48.6711524240046
1982-10-15	58.3434085701813
1982-11-15	24.0335565994021
1982-12-15	7.15850857891081
1983-01-15	20.7323117874043
1983-02-15	34.3227980149355
1983-03-15	13.9832949260382
1983-04-15	14.9191106376883
1983-05-15	68.644235265214
1983-06-15	91.2218039019024
1983-07-15	129.397536124919
1983-08-15	37.3917484663465
1983-09-15	66.8745584436652
1983-10-15	35.4973541335517
1983-11-15	3.69461627429402
1983-12-15	7.86378864912178
1984-01-15	20.2737774795144
1984-02-15	27.0210752579266
1984-03-15	16.0615562779522
1984-04-15	19.9429134294616
1984-05-15	67.1119256912488
1984-06-15	54.9722424334999
1984-07-15	35.5281893140238
1984-08-15	51.0179970967485
1984-09-15	52.1483189457065
