DTM	RACMO_EH5_T
1961-01-15	-1.22958417618793
1961-02-15	2.89489705961638
1961-03-15	5.43864418845167
1961-04-15	7.51043057907539
1961-05-15	13.0531684896731
1961-06-15	15.8773542842346
1961-07-15	18.7096859289096
1961-08-15	16.9521431484967
1961-09-15	13.8672262432321
1961-10-15	4.80901215310177
1961-11-15	2.27286245218505
1961-12-15	-0.645544737013393
1962-01-15	-5.72150260229103
1962-02-15	0.0149512397395169
1962-03-15	1.78875648799588
1962-04-15	9.8543313972109
1962-05-15	13.5799467541905
1962-06-15	16.1493774249075
1962-07-15	15.9328021375983
1962-08-15	15.4402371637138
1962-09-15	12.0223215404217
1962-10-15	7.68513751897217
1962-11-15	3.22955758177643
1962-12-15	-2.67040307078856
1963-01-15	-1.8215914084365
1963-02-15	1.14948830189891
1963-03-15	2.70830328547845
1963-04-15	6.51772138509422
1963-05-15	12.6261749344688
1963-06-15	15.3676456689963
1963-07-15	18.9457771630721
1963-08-15	16.1802960623898
1963-09-15	13.2581412592986
1963-10-15	9.98517081051848
1963-11-15	2.95823050489095
1963-12-15	1.33958383394953
1964-01-15	2.38478625948704
1964-02-15	-3.22504868160829
1964-03-15	5.18137963666142
1964-04-15	12.8433106734054
1964-05-15	12.8981892955632
1964-06-15	16.7171945013082
1964-07-15	20.5540897225785
1964-08-15	17.8263590209204
1964-09-15	13.6983384505252
1964-10-15	8.11345336685676
1964-11-15	4.41261046602251
1964-12-15	0.394445510030343
1965-01-15	-3.33394590273349
1965-02-15	1.14514032975292
1965-03-15	3.88098927165419
1965-04-15	9.16871511408788
1965-05-15	13.747852903915
1965-06-15	15.6734664994371
1965-07-15	18.573747941478
1965-08-15	18.718715531394
1965-09-15	12.7394154317848
1965-10-15	6.21377318347176
1965-11-15	4.06660330531844
1965-12-15	4.26454809695328
1966-01-15	0.600902772531482
1966-02-15	-3.79878423195981
1966-03-15	4.10543108774088
1966-04-15	8.76471996641455
1966-05-15	12.4517675553879
1966-06-15	18.8104154448145
1966-07-15	18.3723646802445
1966-08-15	16.9603919865251
1966-09-15	10.7334753032151
1966-10-15	7.2972375594205
1966-11-15	4.52226471960595
1966-12-15	1.94453861857727
1967-01-15	-5.17520959551941
1967-02-15	1.27195555723263
1967-03-15	4.53809556021789
1967-04-15	10.7585550993618
1967-05-15	14.3587430595268
1967-06-15	17.8301693367293
1967-07-15	17.9749053635639
